,Link,Dealer/private,Price_kr,Model_year,First_registration,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_sec,Color,AWD/RWD
3306,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6159093,True,284900,2021,4/2021,32000,490,76.6,204,8.5,Koksmetal,False
3323,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-active-5d/6147930,True,319900,2023,3/2023,25000,531,76.6,204,8.5,Hvidmetal,False
3324,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6029142,True,299000,2022,5/2022,45000,509,77.0,204,8.5,Grå,False
3355,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6135723,True,229800,2022,3/2023,24000,345,52.0,148,10.9,Grå,False
3357,https://www.bilbasen.dk/brugt/bil/vw/id4/life-performance-5d/6074801,True,269900,2021,8/2021,48000,518,77.0,204,8.5,Mørkgrå,False
3364,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6130536,True,274900,2022,1/2022,32000,485,76.6,204,8.5,Gråmetal,False
3381,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6139506,True,272900,2021,12/2020,32000,490,76.6,204,8.5,Koksmetal,False
3388,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6021278,True,349900,2021,10/2021,25000,479,77.0,299,6.2,Hvidmetal,True
3405,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6087745,True,339900,2022,11/2021,50000,476,77.0,299,6.2,Hvidmetal,True
3408,https://www.bilbasen.dk/brugt/bil/vw/id4/city-pure-performance-5d/6150496,True,224900,2021,11/2021,47000,343,52.0,170,9.0,Hvidmetal,False
3440,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6140098,True,264900,2021,12/2020,29000,490,76.6,204,8.5,Blå,False
3460,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6152767,True,308800,2021,4/2021,32000,506,76.6,204,8.5,Guldmetal,False
3485,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6151334,True,264500,2021,12/2020,33000,490,76.6,204,8.5,Hvid,False
3489,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-plus-5d/6158019,True,279900,2021,5/2021,40000,499,77.0,204,8.5,Koksmetal,False
3532,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6000142,True,319900,2021,9/2021,40000,506,77.0,204,8.5,Hvid,False
3541,https://www.bilbasen.dk/brugt/bil/vw/id4/5d/6115211,True,249900,2022,12/2021,35000,341,52.0,148,10.9,Hvidmetal,False
3547,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6056498,True,314900,2023,11/2022,24000,531,77.0,204,8.5,Hvidmetal,False
3552,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-active-5d/6026963,True,324900,2023,4/2023,30000,531,77.0,204,8.5,Hvid,False
3565,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6142979,True,324900,2021,6/2021,30000,490,76.6,204,8.5,Perlemorshvid,False
3569,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6137584,True,299500,2022,12/2021,29000,514,76.6,204,8.5,Hvidmetal,False
3580,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6157388,True,269900,2022,12/2021,25650,517,77.0,204,8.5,Metal,False
3587,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6153785,True,239500,2022,9/2022,35000,343,52.0,170,9.0,Hvid,False
